Length_m,Gravitional_Acceleration_m_per_s2,Period_s
3.807947176588889,9.8,3.916627673382955
9.51207163345817,9.8,6.190195805055024
7.34674002393291,9.8,5.44019123590442
6.026718993550662,9.8,4.927280671678911
1.6445845403801216,9.8,2.5739193347729503
1.6443457513284063,9.8,2.5737324650638898
0.6750277604651747,9.8,1.649026547173666
8.675143843171858,9.8,5.911601801461404
6.051038616257767,9.8,4.937212191898206
7.10991852018085,9.8,5.351790969277697
0.3037864935284442,9.8,1.1062443383496006
9.702107536403744,9.8,6.251725092247237
8.341182143924176,9.8,5.796697441100231
2.202157195714934,9.8,2.978454629482408
1.9000671753502962,9.8,2.766631441508601
1.915704647548995,9.8,2.777992743311726
3.1119982052994235,9.8,3.5406785457837913
5.295088673159155,9.8,4.6185265992597015
4.376255684556946,9.8,4.198732187881147
2.983168487960615,9.8,3.4666158783675276
6.157343657751556,9.8,4.980392004224223
1.4809892204552142,9.8,2.4425461563262116
2.99223202049866,9.8,3.471878061351743
3.726982248607548,9.8,3.874766110315377
4.615092843748656,9.8,4.311784546607868
7.873242017790835,9.8,5.631753417811605
2.0767704433677614,9.8,2.892418147143388
5.190920940294755,9.8,4.572871922055825
5.96490423173422,9.8,4.9019465129015005
0.5598590859279775,9.8,1.5017795836076164
6.1146940338242395,9.8,4.963113372263157
1.7881888245041864,9.8,2.683944423852458
0.7440107705542672,9.8,1.7312366672906228
9.493966818808,9.8,6.184301940337877
9.659757127438137,9.8,6.2380655510953344
8.103133746352965,9.8,5.713382946031933
3.11567631481637,9.8,3.5427703139752498
1.0669539286632004,9.8,2.0731926665631897
6.873906962470353,9.8,5.262215813625848
4.457509688022053,9.8,4.237531878625542
1.3081785249633104,9.8,2.2956217891747914
5.002251410101574,9.8,4.488999821899967
0.4404463590406621,9.8,1.3320279649622335
9.102271980579943,9.8,6.055384636983346
2.6619218178401676,9.8,3.2746469065746955
6.658970615104422,9.8,5.1792917997308185
3.1859396532851685,9.8,3.582495084444462
5.248673409660327,9.8,4.598239689088851
5.5124317654984685,9.8,4.712359814987125
1.9300591097027178,9.8,2.7883811325207635
9.69888781486913,9.8,6.250687663828392
7.773814951275034,9.8,5.596080197247338
9.401039521485473,9.8,6.1539614265293725
8.958790769233723,9.8,6.007468848109601
6.019209790229743,9.8,4.924210055232587
9.226554926728857,9.8,6.096584761970605
0.976075770314003,9.8,1.9829355396696091
2.0402303379495375,9.8,2.866859643116793
0.5477501602143269,9.8,1.4854501677253924
3.3207702745563172,9.8,3.6575161035408037
3.9479051679258723,9.8,3.9879544252838017
2.78635541456157,9.8,3.3503107173938496
8.3045013406041,9.8,5.783937751241467
3.631857934266534,9.8,3.8249983888041577
2.8812516459050697,9.8,3.406884621844338
5.47269122326666,9.8,4.695342780860397
1.4951498272501504,9.8,2.4541956839728676
8.041750109464994,9.8,5.691701523605294
0.8380513724297312,9.8,1.837393397010042
9.870180672345121,9.8,6.305643038089448
7.7452232160369086,9.8,5.585779653998848
2.0672852471883068,9.8,2.885805343256202
0.15466895952366377,9.8,0.7893478174990256
8.173068141702858,9.8,5.737984759718052
7.097887704091409,9.8,5.347261123181207
7.317170963605775,9.8,5.429232393818906
7.735576432190863,9.8,5.582299986824758
0.8330420521674946,9.8,1.8318938014363009
3.648810712588299,9.8,3.8339151549544197
1.2471036892987843,9.8,2.241393522490067
8.644723916168376,9.8,5.901228001198541
6.270651455592823,9.8,5.026007836948514
3.375890446041227,9.8,3.6877460182944453
0.729227667831634,9.8,1.7139509911107371
